User,Adiminship date
cnwb,2005-12-04
eugene van der pijll,2005-06-08
nja247,2009-02-14
marianocecowski,2005-08-30
woody,NA
fredrik,2004-07-01
msgj,2009-02-24
courcelles,NA
edward,2005-01-08
lessheard vanu,2007-05-19
yanksox,2006-07-29
herostratus,2006-06-22
magog the ogre,2010-09-11
syrthiss,2005-12-14
jehochman,2007-10-11
feco,2005-07-07
utcursch,2005-02-21
spinningspark,2009-04-15
fishhead64,2007-04-19
maunus,2009-08-19
jafeluv,2009-09-08
essjay,2005-07-20
excirial,2010-04-16
henrik,2007-11-05
bd2412,2005-12-08
someguy1221,2009-03-25
lazulilasher,2008-10-12
nishkid64,2006-09-26
kim bruning,2004-08-04
hajor,2004-03-27
dmcdevit,2005-07-25
matthewedwards,2008-07-15
bearcat,2004-03-28
punkmorten,2006-01-10
youngamerican,2006-11-03
duncharris,2004-11-10
hawstom,2004-10-18
mintguy,2003-08-05
staxringold,2006-06-06
recurring dreams,2007-10-01
rhobite,2004-10-23
jmlk17,2007-06-07
kingturtle,2003-05-12
petros471,2006-04-18
kukini,2006-06-09
theproject,2006-06-30
gflores,2006-03-16
danny,2004-01-26
smartse,2011-02-01
jimfbleak,2003-05-14
flcelloguy,2005-08-08
the jps,2006-05-01
erikhaugen,2011-02-10
irongargoyle,2006-10-07
admiral norton,2009-03-07
shadow1,2007-02-12
briangotts,2005-08-13
anonemouse,2006-11-08
happyme22,2008-07-16
ronnotel,2007-09-26
gnangarra,2006-11-26
sirfozzie,2007-06-15
academic challenger,2004-09-10
adambiswanger1,2006-10-09
exploding boy,2004-04-11
elf-friend,2006-02-16
franamax,2009-11-10
thatcher131,2006-09-22
rn,2005-10-12
panyd,2010-11-28
leonard^bloom,2010-01-29
radiokirk,2006-05-06
rudget,2008-01-12
loui,2004-01-18
angr,2005-09-10
dppowell,2007-10-31
delldot,2007-02-18
fantasy,2003-07-27
larry v,2006-08-22
172,2003-05-12
kafziel,2007-02-07
lectonar,2005-09-12
skier dude,NA
nyttend,2007-11-08
morwen,2003-11-16
leebo,2007-06-19
banes,2006-02-01
ground zero,2005-08-20
tadakuni,2008-10-04
nawlinwiki,2006-08-26
k1bond007,2005-08-19
michaelas10,2007-03-24
daniel case,2007-07-05
pedanticallyspeaking,2004-12-16
garion96,2007-02-13
catfish jim and the soapdish,2011-05-04
qwghlm,2007-01-30
edjohnston,2008-02-20
the tom,2005-11-23
ryanpostlethwaite,2007-03-10
hiberniantears,2007-10-20
gamaliel,2004-11-21
rklawton,2007-03-13
hoary,2006-04-05
gurch,2006-06-12
viajero,2003-08-30
mike peel,2007-07-09
eliz81,2007-11-22
wjbscribe,2007-03-26
charles matthews,2004-02-17
paolo liberatore,2006-02-28
good olfactory,2008-07-28
desiegel,2005-10-02
doczilla,2008-02-15
vantucky,2008-04-23
cireland,2008-01-31
proteus,2004-09-24
zoney,2004-09-21
whouk,2006-05-15
radiant!,2005-06-07
acalamari,2007-07-04
the rambling man,2007-05-03
lupo,2004-08-02
ww,2004-04-20
valfontis,2011-03-25
dmacks,2007-11-19
amalthea,2009-02-21
accounting4taste,2007-11-02
seraphimblade,2007-03-13
rettetast,2007-05-13
horologium,2008-05-01
kww,2010-04-20
ryan postlethwaite,NA
petersymonds,2008-05-12
heimstern,2007-02-16
rossami,2004-09-01
fvasconcellos,2007-06-10
nickshanks,2005-10-16
tom harrison,2006-01-04
mushroom,2005-12-02
radicalbender,2004-03-03
mcb,2006-10-25
eskog,2006-02-24
cool hand luke,2004-10-25
durova,2006-10-17
dwindrim,2004-07-01
boing! said zebedee,2011-03-01
walton monarchist89,2007-04-20
victuallers,2008-01-21
keegan,NA
shadowhalo,2007-02-17
pschemp,2006-04-09
theresa knott,2003-06-17
newyorkbrad,2007-01-21
cryptoderk,2004-09-30
alex bakharev,2006-02-23
cool3,2009-06-27
dfrg.msc,2007-10-15
oleg alexandrov,2005-09-25
elf,2004-06-12
sabine's sunbird,2008-04-15
sjakkalle,2005-06-17
knightlago,2008-04-03
swadair,2004-11-02
rigadoun,2007-11-12
a train,NA
brokensegue,2005-01-10
favonian,2010-07-26
jmh649,2010-08-20
the placebo effect,2007-10-11
jogers,2007-09-16
rootology,2009-02-01
tenofalltrades,2005-06-23
jza84,2008-05-21
animate,2008-12-26
cirt,2008-09-15
dpbsmith,2004-04-17
wangi,2006-08-18
timotheus canens,NA
chrislk02,2007-02-01
nev1,2010-08-17
soxred93,2008-06-20
adam bishop,2003-09-02
joyous!,NA
mark richards,2004-05-06
dave souza,2005-09-13
dvd r w,2006-06-17
tannin,2003-04-15
orderinchaos78,2007-03-13
bjweeks,2008-06-22
l'aquatique,2008-07-29
athaenara,2007-11-02
nikki311,2007-11-21
cantthinkofagoodname,2006-02-06
bettia,2009-03-09
kwamikagami,2005-10-05
sandstein,2006-11-30
j di,2006-11-04
colds7ream,2009-06-09
ktsquare,2003-06-21
shii,NA
royboy,2005-10-02
fabiform,2004-03-17
nightscream,2007-11-13
graft,2005-10-07
tim!,NA
rama's arrow,2006-11-17
bluemoose,2005-07-20
vegaswikian,2006-01-29
crgreathouse,2009-01-16
jfdwolff,2004-05-11
evilphoenix,2005-10-14
dsmdgold,2006-01-16
cenarium,2008-06-19
sql,2007-09-27
grahamcolm,2008-12-29
ral315,2005-09-10
mlaffs,2009-07-01
andyz,2006-05-05
davidcannon,2004-07-03
geogre,2004-08-13
andyl,2004-06-21
archtransit,2008-01-10
tomstar81,2008-07-07
davidlevinson,2003-11-11
bobak,2007-05-23
dougweller,2008-09-18
elinord,2007-06-13
borisblue,2006-09-12
babajobu,2006-01-06
niteowlneils,2004-06-03
woodym555,2007-11-08
gonzonoir,2011-02-02
mfield,2009-02-27
johncd,2009-11-16
fred bauder,2003-03-06
boz,2009-04-13
casliber,2007-03-26
renata3,2006-08-16
reedy boy,2007-06-03
morven,2004-01-26
milborneone,2008-04-24
burgundavia,2005-04-19
slimvirgin,2005-03-23
silsor,2006-05-04
picaroon9288,2007-02-07
jdavidb,2005-10-02
gimmetrow,2007-11-15
skomorokh,2009-07-14
bubba hotep,2007-03-04
gryffindor,2006-04-02
nuclearwarfare,2009-08-26
ladyofshalott,NA
canadian paul,2007-11-17
anthony appleyard,2007-04-18
john carter,2008-01-14
terriersfan,2007-04-24
gabbe,2005-01-21
alistairmcmillan,2005-08-12
stan shebs,2003-10-03
spencer195,2004-10-28
cambridgebayweather,2005-10-23
mark83,2006-04-07
seicer,2008-02-28
prodego,2006-04-03
28bytes,2011-06-14
fcytravis,2005-07-01
kelly martin,2005-06-15
bighaz,2007-02-28
duja,2006-10-02
littledan,2003-03-10
icairns,2005-02-04
rmhermen,2004-07-06
conscious,2006-05-27
myreddice,2003-03-10
sj,2004-04-07
kuru,2007-01-25
plastikspork,2009-06-25
grandmasterka,2006-07-14
scarian,2008-02-20
michael hardy,2003-12-04
somno,2009-02-07
tfowr,2010-06-11
metros232,2006-11-20
mlauba,2009-10-17
jip,2005-09-09
oberiko,2004-06-20
femto,2006-11-12
thecatalyst31,2010-10-31
gatoclass,2008-05-15
opabinia regalis,2006-11-16
dragonflysixtyseven,2005-10-09
spartaz,2007-06-24
kusma,2006-04-07
marine 69-71,2005-05-31
melburnian,2007-07-16
jonmoore,2004-12-12
looie496,2010-10-11
kungfuadam,2006-04-06
mallanox,2007-04-28
gwen gale,2008-05-24
one,NA
bishonen,2005-05-08
smashville,2008-09-03
stevenj,2004-04-18
tassedethe,2009-04-09
muriel gottrop,2003-10-31
hawkeye7,2009-11-17
steinsky,2006-01-31
alai,2005-11-05
shanes,2005-04-29
aervanath,2008-11-15
alivefreehappy,2007-12-28
tony sidaway,2005-03-11
ucucha,2009-12-15
jedi6,2006-04-12
fribbler,2009-08-13
kevin,2008-06-19
johntex,2005-10-26
david fuchs,2007-05-13
zoe,2003-02-12
pakaran,2003-12-05
martinharper,NA
useight,2007-12-08
starblind,2005-07-07
blnguyen,2006-05-29
ddstretch,2008-06-06
keith d,2007-12-11
ambivalenthysteria,2004-07-14
saravask,2006-05-05
icewedge,2008-12-24
thryduulf,2005-06-02
knowledgeofself,2005-12-31
marskell,2007-02-24
calliopejen1,2007-07-31
slambo,2005-03-30
tomthehand,2006-08-23
moreschi,2007-05-12
william m. connolley,2006-01-14
grenavitar,2005-10-26
silktork,2008-11-25
euryalus,2008-11-12
owenx,2005-10-07
anemoneprojectors,2007-02-10
st47,2007-07-18
ohanaunited,2008-02-19
karanacs,2008-06-23
tony fox,2007-12-19
epbr123,2008-06-11
dcoetzee,2004-05-05
killerchihuahua,2006-01-14
dlohcierekim,2007-11-30
sverdrup,2004-04-06
flonight,2006-05-03
gwernol,2006-06-17
michaelbillington,2007-03-24
freestylefrappe,2005-10-21
plange,2006-10-20
master of puppets,2008-02-10
physchim62,2005-11-06
highinbc,2006-11-28
violetriga,2004-11-07
esteffect,NA
grutness,2005-02-15
christhedude,2007-11-26
sggh,2007-03-24
royalbroil,2007-11-26
evercat,2005-05-04
titoxd,NA
jclemens,2008-11-28
okiefromokla,2008-07-26
mairi,2005-10-08
andres,2003-12-16
ruhrfisch,2007-12-14
rspeer,2006-03-02
netsnipe,2006-09-03
linuxbeak,2005-06-06
daniel quinlan,2003-10-21
chick bowen,2006-02-14
flowerparty,2006-03-11
firefoxman,2008-06-18
david d.,2007-11-14
proto,2006-04-05
sarcasticidealist,2008-01-15
mangojuice,2006-07-04
peacent,2007-05-25
j.delanoy,2008-07-27
sue anne,NA
paxse,2009-04-05
gdr,2005-04-13
laralove,2007-11-10
vernowhitney,2010-11-12
virtualsteve,2007-06-27
foxy loxy,2009-04-17
robchurch,2005-10-17
calmer waters,2010-02-05
thorpe,2005-12-31
john reaves,2007-03-10
shyamal,2007-06-16
grue,2005-06-22
wknight94,2006-07-16
secretlondon,2003-11-09
natalie erin,2007-03-14
uncle g,2005-07-12
choess,2008-08-22
sanchom,2007-06-28
gdonato,2007-07-05
evilclown93,2007-06-30
izehar,2005-12-25
rlendog,2010-01-16
elen of the roads,2010-10-28
ps2pcgamer,2006-04-08
joshbuddy,2006-06-26
ceyockey,2006-12-14
redwolf,2004-02-24
seabhcan,2005-06-03
tshilo12,2005-12-12
schuminweb,2007-06-13
nichalp,2004-09-27
capitalistroadster,2005-11-11
postdlf,2004-09-29
wodup,2007-08-30
espresso addict,2007-09-23
climie.ca,2009-01-11
alphachimp,2006-08-18
dysprosia,2003-09-17
aris katsaris,2004-11-19
mbisanz,2008-02-16
it is me here,2008-12-10
r3m0t,2005-07-01
urhixidur,2004-12-31
hbdragon88,2007-11-30
faithlessthewonderboy,2007-12-26
sam blacketer,2007-04-28
prohibitonions,2006-04-09
raymond arritt,2007-07-30
peripitus,2008-08-05
kirill lokshin,2005-10-29
hyacinth,2004-11-15
deryck chan,2007-03-02
fritzpoll,2008-05-27
adam cuerden,2007-03-02
tiptoety,2008-03-02
seglea,2004-02-06
maedin,2009-08-28
georgewilliamherbert,2007-03-01
primehunter,2007-12-23
carbonite,2005-03-19
dreadstar,2007-09-17
sadads,2011-05-21
balloonman,2007-08-23
rxs,NA
jamesbwatson,2010-06-21
tim song,2010-03-11
jhunterj,2007-10-02
timvickers,2007-02-25
dieter simon,2003-12-02
maury markowitz,2004-11-22
oldelpaso,2007-03-24
mpf,2006-01-31
kaiser matias,2007-12-09
alteripse,2005-01-24
nohat,2004-04-22
cloudnine,2007-06-24
bearian,2007-09-27
rambo's revenge,2009-05-11
xiner,2007-03-13
sd6-agent,2004-05-05
the undertow,2007-07-27
deckiller,2006-03-10
runcorn,2006-08-31
number 57,NA
olenglish,2009-09-26
andrewa,2004-04-02
drkiernan,2007-06-18
olessi,2006-10-28
joshuaz,2006-05-08
arvindn,2004-03-04
philip baird shearer,2006-06-06
appraiser,2008-01-10
jrm,2005-05-08
moonriddengirl,2007-09-18
thatcher,NA
"chase me ladies, i'm the cavalry",2007-11-16
glasscobra,2007-11-04
rjfjr,2005-10-12
phaedriel,2006-08-04
splash,2005-09-09
infrogmation,2003-02-01
hj mitchell,2010-05-01
lexor,2004-03-12
thecustomoflife,2004-09-07
garzo,2005-10-21
protonk,2008-10-22
deb,2003-06-14
yandman,2007-01-30
rx strangelove,2005-09-12
quadell,2004-07-16
enochlau,2005-12-02
lyrl,2007-08-13
guettarda,2005-06-21
killiondude,2009-08-09
denelson83,2005-10-14
ben macdui,2008-07-16
lacrimosus,2005-08-11
teke,2006-08-28
rodhullandemu,2008-01-27
martinp23,2006-11-18
"can't sleep, clown will eat me",2006-04-08
feydey,2007-01-11
wilyd,2007-06-01
eyeserene,2008-04-14
night gyr,2007-01-16
makemi,2006-03-25
wtmitchell,2009-06-26
ike9898,2004-02-12
stephen,2007-05-03
pollinator,2004-03-27
wickethewok,2006-07-31
cacycle,2005-03-15
zzyzx11,2005-06-06
bencherlite,2007-11-16
crum375,2007-02-21
resolute,2007-08-21
mkweise,2004-03-31
ct cooper,NA
paul august,2005-05-31
7,2010-06-05
g-man,2003-06-21
dekimasu,2007-05-14
ice cold beer,2008-08-26
xenocidic,2008-06-04
friday,2005-10-11
feloniousmonk,2005-08-13
brian new zealand,2007-08-07
ft2,2007-01-19
persian poet gal,2007-02-15
parsecboy,2008-02-24
amidaniel,2006-05-29
fainites,2010-08-20
bmills,2004-01-04
either way,NA
graeme bartlett,2009-05-02
metamagician3000,2006-05-09
tedder,2009-07-21
fences and windows,2009-11-23
mikaey,2009-07-08
stifle,2006-03-07
essexmutant,2006-02-13
sebastiankessel,2005-10-14
blood red sandman,2007-10-12
tonywalton,2006-12-15
feezo,2011-03-26
geschichte,NA
gimme danger,2011-01-15
tabercil,2007-07-31
kf,2004-11-23
canadiancaesar,2006-02-12
buckshot06,2008-10-05
tso1d,2007-01-18
kils,2003-05-22
angelofsadness,2008-06-08
ruslik0,2008-11-30
ahoerstemeier,2003-08-19
pcb21,2003-08-20
ryulong,2007-01-24
aldux,2006-07-12
carlossuarez46,2007-07-16
canadian-bacon,2006-12-25
rlevse,2007-02-27
asterion,2006-12-27
wwoods,2005-04-13
staecker,2007-04-15
nsle,2005-12-10
tijuana brass,2006-05-29
theleftorium,2010-06-27
ponyo,2011-02-02
carcharoth,2007-10-25
pzfun,2004-12-12
andrew levine,2006-08-16
andrwsc,2007-02-28
gladys j cortez,2008-10-07
gaius cornelius,2007-11-19
func,2005-08-10
dominic,NA
prolog,2007-05-01
smoddy,2005-04-24
owen,NA
jpd,2006-09-05
materialscientist,2009-10-25
xavexgoem,2008-06-18
vsmith,2005-07-06
qaz,2005-10-16
gator1,2006-03-17
jeepday,2008-01-13
dgg,2007-05-09
orderinchaos,NA
olivier,2003-06-21
mrkia11,2009-12-10
hamster sandwich,2005-12-02
johnleemk,2004-06-26
pegship,2008-06-07
jonathunder,2006-01-08
james086,2007-02-25
snottygobble,2005-12-02
andris,2004-07-29
ingoolemo,2005-06-07
j milburn,2007-04-10
blueboy96,2008-03-02
anthere,2003-06-16
nandesuka,2005-09-16
juliancolton,2008-09-27
fuzheado,2003-10-03
yomangani,2006-10-12
alexiushoratius,2009-04-07
akradecki,2007-05-21
acdixon,2011-02-02
vegadark,2007-02-15
zero0000,2004-04-22
skierrmh,2007-11-22
cmummert,2007-03-23
tyrenius,2006-07-08
dan100,2005-08-06
dankeshet,2004-11-15
android79,2005-09-12
snoutwood,2006-05-05
cjcurrie,2004-09-22
neutrality,2004-10-13
thecoffee,2005-08-24
angela,2003-06-17
talrias,2005-07-09
jesse viviano,2007-03-04
future perfect at sunrise,2006-11-06
kaisershatner,2006-04-17
no guru,2006-04-18
trusilver,2007-08-22
chmod007,2004-09-23
jwrosenzweig,2003-09-17
adambro,2007-04-30
kosebamse,2003-06-01
kudpung,2011-03-02
nat,2007-10-03
phantomsteve,2010-02-09
dgrant,2003-08-28
arbitrarily0,2009-11-17
agk,2007-05-06
olaf davis,2010-01-11
matt crypto,2004-10-07
steve,2009-08-11
nihiltres,2007-05-21
ncurse,2006-10-07
andrevan,2004-09-18
zocky,2005-06-08
markgallagher,2005-11-25
aaron brenneman,2006-02-09
akhilleus,2007-04-04
shimgray,2005-11-03
peridon,2011-03-14
warofdreams,2004-02-17
neelix,2011-03-03
raul654,2003-12-13
ged uk,2009-03-21
davemeistermoab,2009-07-11
brookie,2005-09-25
antandrus,2005-04-08
edison,2007-09-05
uninvitedcompany,2004-04-24
dbachmann,2004-11-11
geni,2009-01-21
grberry,2006-12-30
veinor,2007-03-05
kaldari,2005-08-10
spellcast,2007-11-13
yonatan,2007-05-21
joy stovall,2004-11-15
jessew,2005-08-31
mindspillage,2005-04-18
dana boomer,2010-08-31
connormah,2010-09-02
sr13,2007-05-07
cstar,2004-11-23
f,NA
jodyb,2007-07-07
mikkalai,2004-02-17
cbl62,2008-09-22
melchoir,2006-10-19
circeus,2006-04-05
musical linguist,2005-11-22
martijn hoekstra,2008-04-01
fram,2007-02-26
muzemike,2009-09-14
premeditated chaos,2004-12-28
slrubenstein,2003-05-13
xymmax,2008-10-14
nancy,2008-02-06
happycamper,2005-08-23
oren0,NA
everyking,2010-01-25
angusmclellan,2007-04-10
shimeru,2007-03-15
jojan,2005-06-25
mjroots,2009-09-26
bob the wikipedian,2009-09-26
betacommand,2006-10-22
shubinator,2009-12-30
sb johnny,2007-11-27
bastique,2006-05-17
airplaneman,2010-08-25
(aeropagitica),2006-03-06
adjustshift,2009-04-11
superm401,2006-02-08
moabdave,NA
art lapella,2006-11-06
extraordinary machine,2006-06-29
dbiv,2005-01-20
rickk,2003-07-26
nanobug,2003-09-03
natalinasmpf,2005-12-31
pratyeka,2003-11-14
enigmaman,2009-06-15
mandsford,2010-08-31
sjorford,2006-02-15
viridae,2006-11-28
smurrayinchester,2006-03-19
jayvdb,2007-09-13
nikkimaria,2010-08-24
tanthalas39,2008-06-10
savidan,2007-01-02
ironholds,2011-01-08
worm that turned,2011-07-06
cyp,2003-06-20
dj clayworth,2004-03-31
ultraexactzz,2008-02-01
dabomb87,2010-08-23
rockpocket,2006-11-10
wizardman,2007-01-29
tnxman307,2009-03-17
timrollpickering,2005-02-26
jkelly,2005-11-25
katefan0,2005-09-12
tide rolls,2010-05-19
ben w bell,2006-06-07
grant65,2007-07-05
who,2005-10-02
cedar-guardian,2005-09-10
polargeo,2010-04-06
grendelkhan,2006-07-23
jay,2004-03-12
hurricanehink,2008-03-17
tizio,NA
smith03,2003-07-09
brianga,2007-12-10
pinkville,2008-06-18
macgyvermagic,2004-12-01
maxsem,2007-05-20
snowspinner,2004-07-31
moondyne,NA
marasmusine,2007-07-31
mel etitis,2005-04-06
banno,2006-01-12
aleta,2008-03-21
jayjg,2004-09-13
jauerback,2008-01-26
rama,2005-05-05
steve smith,NA
od mishehu,2007-12-13
abecedare,2009-10-01
cburnett,2005-05-01
the land,2005-12-14
ellsworth,2005-04-18
flyguy649,2007-09-11
joelr31,2006-05-18
r. baley,2008-04-14
lordameth,2005-10-14
hall monitor,2005-08-23
23skidoo,2005-10-07
kim dent-brown,2008-02-17
roozbeh,2004-04-20
pascal.tesson,2007-05-29
rkitko,2007-12-09
thue,2004-07-28
bobo192,2006-03-05
david.monniaux,2004-05-10
whispertome,2003-12-05
camw,2009-03-11
dbenbenn,2005-02-14
the ed17,2009-09-26
kmccoy,2005-08-03
keeper76,2008-01-15
mecu,2007-06-17
wavegetarian,2006-07-30
karmafist,2005-10-12
thunderbrand,2005-07-31
doomsday349,2007-06-06
thumperward,2010-07-25
kbthompson,2008-01-09
samsara,2006-07-11
haukurth,2006-01-22
bjelleklang,2007-05-22
hoopydink,2006-09-11
navou,2007-09-05
journalist,2005-10-02
cutler,2004-07-08
vancouverguy,2003-09-02
luna santin,2006-09-10
zscout370,2005-08-11
moriori,2005-07-20
deacon of pndapetzim,2008-03-04
spebi,2007-11-20
seraphim whipp,2008-03-11
mackensen,2004-09-30
wesley,2004-03-11
bogdangiusca,2005-12-20
messedrocker,2006-09-14
khukri,2007-05-18
el c,2005-05-01
jpg-gr,2008-10-19
davidruben,2006-12-13
jzg,2006-01-17
agathoclea,2006-12-25
guinnog,2006-08-30
chunky rice,2007-09-05
addhoc,2007-09-24
wbositg,2008-05-13
bkonrad,2004-05-29
vassyana,2007-05-31
dmn,2004-11-26
xoloz,2006-05-17
geometry guy,2007-11-16
schutz,2007-08-15
alex756,2003-08-30
craigy144,2005-07-04
vaoverland,2005-03-06
ianmanka,2006-06-16
jallan,2004-10-12
dragons flight,2005-08-20
risker,2008-05-14
pfortuny,2004-03-11
beeblebrox,2009-08-30
pats1,2007-10-25
cbrown1023,2006-12-18
